Code,Name,Hex,Group,Description,Color Family,Rooms,Recommended Use,Color Temperature,Tonality,Interior/Exterior,Color Collection,Style,Opacity
0N02,Warmstone,#BC8F8F,Neutrals,,Beiges,,,,,,AP Exterior,,
0N68,Victorian Wisp,#F8F8F8,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
195,Manor Blue-N,#483D8B,Blues,,Blues,,,,,,AP Exterior,,
210,Cascade,#5F9EA0,Decor Suggested Combinations,Decor accents,Blues,"Bedrooms, Bathrooms",Accent Walls,Cool,Medium,Interior,Royale,,
307,Cream,#FFFDD0,Neutrals,,Beiges,,,,,,AP Exterior,,
315,Ivory,#FFFFF0,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
3196,Pine Nut,#DEB887,Decor Suggested Combinations,Decor accents,Browns,"Living Room, Study",Accent Walls,Warm,Medium,Interior,Royale,,
3203,Puppy Love,#FFF0F5,Whites & Off Whites,,Whites,,,,,,AP Exterior,,
3211,Sandstone,#FAA460,Jewel,,Oranges,,,,,,AP Exterior,,
3226,Touch Of Spring-N,#90EE90,Greens,,Greens,,,,,,AP Exterior,,
387,Magnolia,#FDF6E3,Neutrals,,Beiges,,,,,,AP Exterior,,
4120,Burnt Yellowstone-N,#DAA520,Jewel,,Oranges,,,,,,AP Exterior,,
4202,Sands of Time,#C2B280,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Beiges,"Living Room, Bedroom",Primary Walls,Warm,Medium,Interior,Royale,,
470,Light Coffee,#D2B48C,Neutrals,,Beiges,,,,,,AP Exterior,,
5206,Pale Rose,#FFE4E1,Decor Suggested Combinations,Decor accents,Pinks,Bedrooms,Accent Walls,Warm,Light,Interior,Royale,,
6142,Steel,#8A8A8A,Decor Suggested Combinations,Decor accents,Greys,"Study, Living Room",Feature Walls,Cool,Medium,Interior,Royale,,
615,Silver Grey,#C0C0C0,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Greys,All Rooms,Feature Walls,Cool,Light,Interior,Royale,,
616,Smoke-N,#808080,"Whites, Browns, and Greys",Classic | Elegant | Splendid,Greys,"Study, Living Room",Feature Walls,Cool,Medium,Interior,Royale,,
7151,Heirloom,#9370DB,"Violets, Blues and Greens",Cool | Serene | Refreshing,Violets,Bedrooms,Accent Walls,Cool,Medium,Interior,Royale,,
7156,Lavender Lace,#E6E6FA,Decor Suggested Combinations,Decor accents,Violets,Bedrooms,Accent Walls,Cool,Light,Interior,Royale,,
7160,Dash of Purple,#9932CC,"Violets, Blues and Greens",Cool | Serene | Refreshing,Violets,Accent Walls,"Study, Bedroom",Cool,Medium,Interior,Royale,,
7163,Lavender Secret,#E6E6FA,"Violets, Blues and Greens",Cool | Serene | Refreshing,Violets,Bedrooms,Accent Walls,Cool,Light,Interior,Royale,,
7164,Delicate Violet,#BA55D3,"Violets, Blues and Greens",Cool | Serene | Refreshing,Violets,Bedrooms,Accent Walls,Cool,Medium,Interior,Royale,,
719,Gypsy Queen,#8B008B,Purples & Pinks,,Purples,,,,,,AP Exterior,,
7196,Soft Ballad,#DDA0DD,Pastels,,Lavenders,,,,,,AP Exterior,,
7211,Innocence,#F8F8FF,"Violets, Blues and Greens",Cool | Serene | Refreshing,Whites,"Bedrooms, Nursery",Primary Walls,Cool,Light,Interior,Royale,,
7220,Shy Iris,#9370DB,Decor Suggested Combinations,Decor accents,Violets,Bedrooms,Accent Walls,Cool,Medium,Interior,Royale,,
7248,Blue Charm,#4169E1,Blues,,Blues,,,,,,AP Exterior,,
7249,Morning Sky,#87CEEB,Decor Suggested Combinations,Decor accents,Blues,"Bedrooms, Bathrooms",Primary Walls,Cool,Light,Interior,Royale,,
7274,Summer Sky,#87CEFA,Blues,,Blues,,,,,,AP Exterior,,
7275,Blue Dawn,#87CEEB,Blues,,Cyans,,,,,,AP Exterior,,
7300,Jet Stream,#6495ED,Blues,,Blues,,,,,,AP Exterior,,
7308,Surfs Up,#00BFFF,Blues,,Cyans,,,,,,AP Exterior,,
7326,Soothing Sapphire,#0F52BA,Blues,,Blues,,,,,,AP Exterior,,
7331,Light Sky,#87CEFA,Blues,,Blues,,,,,,AP Exterior,,
7344,Gauguin Blue,#4682B4,Decor Suggested Combinations,Decor accents,Blues,Living Room,Accent Walls,Cool,Medium,Interior,Royale,,
7347,Bird Bath,#B0C4DE,Blues,,Blues,,,,,,AP Exterior,,
7358,Hidden Springs,#20B2AA,"Violets, Blues and Greens",Cool | Serene | Refreshing,Greens,"Study, Living Room",Accent Walls,Cool,Medium,Interior,Royale,,
7362,Sky Watch,#87CEEB,Blues,,Cyans,,,,,,AP Exterior,,
7364,Star Gaze,#6A5ACD,"Violets, Blues and Greens",Cool | Serene | Refreshing,Blues,"Bedrooms, Living Room",Feature Walls,Cool,Medium,Interior,Royale,,
7368,Thunder Bay,#2F4F4F,Blues,,Dark Blues,,,,,,AP Exterior,,
7371,Water Rapids,#4682B4,Blues,,Blues,,,,,,AP Exterior,,
7372,Phanton Lake,#4682B4,Decor Suggested Combinations,Decor accents,Blues,Bedrooms,Accent Walls,Cool,Medium,Interior,Royale,,
