url,name,description,short-description,details,category,application,advantages,features,finish_type_sheen,substrate,recommended_uses,price,packaging,technical_specs,base_type,coverage,voc_content,suitable_surfaces,application_instructions,drying_time,recoat_time,cleanup,brand,tools_required,color_options,spread_rate,preparation_instructions,safety_precautions,storage_instructions,warranty,product_number,coats_required,temperature_range,humidity_range
https://calycopaints.com/product/interior-latex-paint,NOVA,"ultra premium interior paint, the only choice for unparalleled color and stunning beauty that lasts.","Vibrant, high-pigment colour. Ultra-low VOC. Water-based for safer, smarter living.","Trusted by discerning designers and homeowners alike, Calyco Nova delivers breathtaking colour with unmatched quality.",Interior,Interior wall painting,High-Pigment Colour | Superior Coverage | Scrub-Resistant,"Burnish and scuff resistant, Low VOC, Unbeatable hide, Designer-grade color","Gloss, Semi-Gloss, Soft Sheen, Matte, Ultra Flat Matte","Drywall, Plaster, Wood, Masonry, Metal","Walls & Ceilings: Ideal for plaster, POP, and drywall surfaces",499,"1 litre, 4 litres, 10 litres, 20 litres","Water-based, low-VOC formulation with high pigment content for rich, lasting colour.",Water-based,90–125 sq. ft./Ltr,Low VOC (trace VOC),Interior walls and ceilings,"Apply with brush, roller, or sprayer",1 hour,2–4 hours,Soap and Water,Calyco,"Brush, Roller, Spray",Available in 108 designer shades,90–125 sq. ft./Ltr,"Clean dry surface, primed if needed","Gloves recommended, ventilated area","Store in cool dry place, avoid freezing",5 years,NOVA,2 coats,10°C–35°C,Under 80% RH
https://calycopaints.com/product/regal,Regal,"elite designer-grade interior paint with rich texture, regal finish, and long-term durability","For luxury interiors needing depth, warmth, and washable beauty.",Hand-picked by architects for showpiece spaces—Calyco Regal is beauty engineered.,Interior,Luxury wall painting,Extreme Washability | Zero Burnish | Deep Color Lock,"Low-Sheen matte or velvet finish, Rich tones, Washable & fade-proof","Velvet Matte, Matte, Soft Sheen","Plaster, POP, Wood","Drawing rooms, feature walls, hospitality interiors",649,"1L, 4L, 10L, 20L",Formulated with advanced polymers and luxury-grade pigments,Water-based,85–115 sq. ft./Ltr,Ultra Low VOC,Interior designer finishes,Roller or soft brush preferred,45 mins,3–5 hours,Soap and Water,Calyco,"Brush, Roller",108 curated luxury shades,85–115 sq. ft./Ltr,Dust-free and primed surface,"Use gloves, eye shield optional","Keep sealed, room temp, avoid sunlight",7 years,REGAL,2 coats,12°C–35°C,<75% RH
https://calycopaints.com/product/sealdefense-interior,SealDefense Interior,"waterproof + anti-fungal interior wall coating for kitchens, baths, and high-humidity spaces",Ultimate moisture protection for indoors.,"Calyco SealDefense prevents mold, damp patches, and paint film failure.",Interior,"Bathroom, kitchen, utility area",Anti-Fungal | Waterproof | Matte Finish,"Stain blocking, Vapour-permeable, Easy maintenance","Matte, Flat","Plaster, Concrete, Cement Sheet",Wet-area walls and ceilings,495,"1L, 4L, 10L",Moisture-shielding paint with hydrophobic barrier,Water-based,80–110 sq. ft./Ltr,Low VOC,Walls exposed to intermittent dampness,Apply in 2 coats over clean surface,1.5 hrs,3 hrs,Soap & Water,Calyco,"Roller, Brush","Neutral tones, white shades",85–110 sq. ft./Ltr,Remove mold before application,Use mask if spraying,"Store upright, sealed, away from heat",4 years,SEALINT,2 coats,10°C–40°C,<80% RH
https://calycopaints.com/product/primedefense,PrimeDefense,mid-tier primer + exterior topcoat combo offering great adhesion and durability.,Built for basecoat coverage and protection against alkali and efflorescence.,A tough underlayer that can also serve as a budget topcoat.,exterior,New construction and repaint walls,Alkali-Resistant | Bond-Enhancing | Economical,"Blocks stains, Levels cracks, UV-stable","Flat, Low Sheen","Plaster, Concrete",Exterior building walls,375,"1L, 10L, 20L",Alkali-resistant primer with acrylic-modified resin,Water-based,100–120 sq. ft./Ltr,Low VOC,All masonry and concrete,Roller or spray,1 hr,3 hrs,Soap & Water,Calyco,Roller,White/Grey base,100–120 sq. ft./Ltr,"Remove dust, neutralize efflorescence",Use mask when sanding,"Keep cool, air-tight",3 years,PRIMEDEF,2 coats,12°C–38°C,<85% RH
https://calycopaints.com/product/walldefense,WallDefense,high-resistance exterior wall paint with waterproof & UV barrier.,"Rain, sun, pollution—this is your wall's shield.",Reliable for commercial buildings and homes alike.,exterior,High-exposure exterior surfaces,UV Stable | Rainproof | Dust-repelling,"Color holding, Algae-resistant, Long life","Satin, Low Sheen","Brick, Concrete, Plaster, Cement Board","Homes, facades, walls, offices",525,"1L, 4L, 10L, 20L",Silicone-modified waterproof film,Water-based,85–115 sq. ft./Ltr,Low VOC,Exteriors exposed to sun/rain,"Brush, Roller, Spray",1 hr,3–4 hrs,Soap & Water,Calyco,"Brush, Roller",24+ shades,90–115 sq. ft./Ltr,Pressure-wash if dirty,Apply in dry weather,"Keep sealed, avoid heat",5 years,WALLDEF,2 coats,10°C–45°C,<85% RH
https://calycopaints.com/product/regal-xterior,Regal Xterior,premium fade-resistant paint for prestige building exteriors,Long-lasting colour even under harsh sunlight.,Perfect for builders and designers with quality specs.,exterior,Architectural & villa exteriors,Color Lock | Ultra Fade-Resist | Premium Finish,"Self-cleaning tech, No chalking, Deep coverage","Silk Sheen, Soft Matte","Plaster, AAC, Textured Cement","Elevated homes, designer facades",599,"1L, 4L, 10L, 20L",High-performance acrylic elastomeric paint,Water-based,85–105 sq. ft./Ltr,Low VOC,Exterior plaster & cement,Roller or Spray,1 hr,3–5 hrs,Soap & Water,Calyco,Roller,Custom Exterior Shades,85–105 sq. ft./Ltr,Clean all loose material,Use PPE when spraying,"Keep cool, no freezing",6 years,REGX,2 coats,12°C–40°C,<80% RH
https://calycopaints.com/product/barriercoat,BarrierCoat,"Anti-stain, microbial-resistant interior emulsion for kitchens & kid zones",Interior paint with stain repellent and high washability,"A rich, protective matte coating that defends against spills, dirt, microbes and surface burnish. Ideal for active households and commercial kitchens.",Interior,"Kitchens, children’s rooms, dining walls",Stain-resistant | Fire-aware | Anti-microbial,"Washable matte, high coverage, hydrophobic tech","Matte, Soft Matte","Plaster, drywall, wood, masonry",Active interior spaces prone to mess,575,"1L, 4L, 10L, 20L",Advanced washable polymer with nano barrier,Water-based,85–110 sq. ft./Ltr,Low VOC (near zero),"Interior walls, corners, trims",Brush or roller in 2 coats over dry surface,1 hr,3–4 hrs,Soap & Water,Calyco,"Brush, Roller","Neutral tones, mid-tones",85–110 sq. ft./Ltr,Ensure dust-free dry surface,"Wear gloves, ventilated area","Store cool, sealed, upright",5 years,BARRIERCOAT,2 coats,10°C–40°C,<80% RH
https://calycopaints.com/product/velveta,Velveta,Satin interior wall paint with rich glow and antimicrobial resistance,Soft-shine finish ideal for bedrooms and lounges,An interior satin emulsion combining low-glare aesthetics with surface defense. A top pick for designers creating restful yet luxurious spaces.,Interior,"Bedrooms, lounges, personal spaces",Soft Satin | Moisture Shield | Designer-Grade,"Moisture-block film, anti-fungal, refined finish",Satin,"Plaster, putty, drywall",Residential interiors needing a luxe soft glow,550,"1L, 4L, 10L, 20L",Mid-sheen acrylic blend with moisture barrier,Water-based,90–115 sq. ft./Ltr,Low VOC,"Plaster, drywall, finished surfaces",Apply with smooth roller or brush,1 hr,3 hrs,Soap & Water,Calyco,Roller,"Skin tones, lavender, pastels",90–115 sq. ft./Ltr,"Clean & level surface, prime if needed","Gloves, avoid eye contact","Store cool, upright, sealed",5 years,VELVETA,2 coats,12°C–40°C,<75% RH
https://calycopaints.com/product/lustrolite,LustroLite,Gloss-finish interior paint with high sheen and easy-clean properties,Glossy luxury paint for statement walls and halls,"Interior high-sheen emulsion for elegant walls needing durability and luster. Great for foyers, staircases, formal lounges.",Interior,"Formal spaces, staircases, lobbies",Gloss | Scrub-Resistant | Long-Lasting Glow,"Gloss finish, durable film, color lock tech",Gloss,"Plaster, MDF, drywall, wood",High-gloss areas with traffic or statement use,625,"1L, 4L, 10L, 20L",High gloss acrylic with anti-fade pigment,Water-based,80–100 sq. ft./Ltr,Low VOC,"Plaster, wood, engineered board",Brush or short-nap roller,1.5 hrs,4 hrs,Soap & Water,Calyco,Roller,"Deep tones, jewel palette, whites",80–100 sq. ft./Ltr,"Flat, dust-free surface","Mask, avoid skin contact","Seal tight, dry storage",4 years,LUSTROLITE,2 coats,12°C–40°C,<75% RH
https://calycopaints.com/product/roofseal,RoofSeal,Glossy waterproof roof tile & clay coating with UV protection,"Gloss exterior finish for tiles, baked clay & bricks","RoofSeal bonds tightly to porous clay and tile, protecting from water, algae, and fading. Features smooth sheen and high-adhesion formula.",exterior,"Roof tiles, bricks, baked clay",Gloss | Waterproof | Anti-Fade,"Ceramic-strong bond, weather tested","Gloss, Brilliant Sheen","Baked clay, red tile, porous brick","Roofs, domes, parapets",575,"1L, 4L, 10L, 20L",All-acrylic UV-stable resin with crosslinking,Water-based,70–90 sq. ft./Ltr,Low VOC,"Roof tiles, clay domes, exterior top-surfaces",2 coats with brush or spray,2 hrs,6 hrs,Soap & Water,Calyco,"Brush, Spray","Terracotta, tile reds, browns",70–90 sq. ft./Ltr,"Surface must be dry, clean, unglazed",Protect eyes & wear gloves,"Store in dry, sealed containers",6 years,ROOFSEAL,2 coats,15°C–45°C,<75% RH
